league_division,match_date,home_team,away_team,full_time_home_team_goals,full_time_away_team_goals,full_time_result,half_time_home_team_goals,half_time_away_team_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,season
e0,2016-10-09,bournemouth,west brom,1,0,h,0,0,d,k friend,12,12,5,2,9,11,10,5,1,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-09,burnley,hull,1,1,d,0,0,d,p tierney,13,11,2,3,13,3,5,9,2,0,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-09,liverpool,leicester,4,1,h,2,1,h,c pawson,17,12,11,3,4,8,1,7,1,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-09,man united,man city,1,2,a,1,2,a,m clattenburg,14,18,3,6,15,10,4,4,4,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-09,middlesbrough,crystal palace,1,2,a,1,1,d,n swarbrick,12,12,4,4,5,9,6,6,1,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-09,stoke,tottenham,0,4,a,0,1,a,a taylor,15,20,2,8,13,18,10,8,3,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-09,west ham,watford,2,4,a,2,2,d,m atkinson,19,13,4,8,10,15,4,4,2,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-09,swansea,chelsea,2,2,d,0,1,a,a marriner,6,28,2,7,17,8,1,11,3,4,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-12-09,sunderland,everton,0,3,a,0,0,d,m jones,11,20,2,9,11,8,5,4,1,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-16,chelsea,liverpool,1,2,a,0,2,a,m atkinson,12,13,4,5,6,13,6,4,1,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-17,everton,middlesbrough,3,1,h,3,1,h,l mason,11,7,6,0,5,15,6,3,2,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-17,hull,arsenal,1,4,a,0,1,a,r east,6,24,2,9,9,12,2,4,0,2,1,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-17,leicester,burnley,3,0,h,1,0,h,a taylor,14,7,6,2,10,9,7,1,0,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-17,man city,bournemouth,4,0,h,2,0,h,j moss,20,6,12,2,8,11,5,5,1,1,1,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-17,west brom,west ham,4,2,h,3,0,h,m clattenburg,8,23,6,5,14,6,2,6,2,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-18,crystal palace,stoke,4,1,h,2,0,h,c pawson,14,11,8,4,15,9,10,5,2,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-18,southampton,swansea,1,0,h,0,0,d,m jones,19,9,6,3,14,9,7,1,1,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-18,tottenham,sunderland,1,0,h,0,0,d,m dean,31,6,9,2,7,16,14,1,1,5,0,1,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-18,watford,man united,3,1,h,1,0,h,m oliver,10,15,5,2,14,19,5,7,3,4,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-24,arsenal,chelsea,3,0,h,3,0,h,m oliver,14,9,5,2,9,11,9,1,0,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-24,bournemouth,everton,1,0,h,1,0,h,r madley,12,13,1,2,10,14,5,3,2,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-24,liverpool,hull,5,1,h,3,0,h,a marriner,32,2,12,1,8,8,13,2,1,2,0,1,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-24,man united,leicester,4,1,h,4,0,h,m dean,16,10,7,3,9,12,8,6,0,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-24,middlesbrough,tottenham,1,2,a,0,2,a,g scott,6,19,2,5,14,9,2,10,2,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-24,stoke,west brom,1,1,d,0,0,d,m atkinson,12,9,2,3,9,13,6,6,3,4,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-24,sunderland,crystal palace,2,3,a,1,0,h,a taylor,11,20,4,4,15,12,3,5,0,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-24,swansea,man city,1,3,a,1,1,d,n swarbrick,13,18,5,4,15,9,2,7,2,4,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-25,west ham,southampton,0,3,a,0,1,a,j moss,13,18,1,9,9,14,6,2,5,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-26,burnley,watford,2,0,h,1,0,h,m jones,13,12,4,3,11,15,7,6,1,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-09-30,everton,crystal palace,1,1,d,1,0,h,j moss,13,10,3,2,16,11,10,9,5,4,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-01-10,hull,chelsea,0,2,a,0,0,d,a taylor,8,22,3,9,13,15,5,7,2,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-01-10,sunderland,west brom,1,1,d,0,1,a,s attwell,7,17,2,7,7,13,6,5,1,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-01-10,swansea,liverpool,1,2,a,1,0,h,m oliver,8,18,3,6,11,9,3,10,2,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-01-10,watford,bournemouth,2,2,d,0,1,a,m dean,17,11,7,2,17,12,4,5,3,4,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-01-10,west ham,middlesbrough,1,1,d,0,0,d,n swarbrick,19,9,2,3,13,12,4,5,2,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-02-10,burnley,arsenal,0,1,a,0,0,d,c pawson,10,18,1,3,2,3,2,6,0,0,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-02-10,leicester,southampton,0,0,d,0,0,d,m atkinson,9,11,1,5,9,9,3,6,1,0,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-02-10,man united,stoke,1,1,d,0,0,d,r madley,24,7,9,6,14,9,13,2,3,0,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-02-10,tottenham,man city,2,0,h,2,0,h,a marriner,13,12,7,6,20,10,4,3,2,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
